"Facility","AppBeds","CmsBeds","Difference","CmsProvider","Ccn","Method","Status"
"Amsterdam","409","409","0","Amsterdam Nursing Home Corp (1992)","335570","name","Confirmed"
"Bannister","161","0",,"","","","Unmatched"
"Beth Abraham","448","448","0","Beth Abraham Center for Rehabilitation and Nursing","335201","name","Confirmed"
"Bishop","440","440","0","BISHOP REHABILITATION AND NURSING CENTER","335338","name","Confirmed"
"Boro Park","504","510","6","Boro Park Center for Rehabilitation and Healthcare","335470","name","Update"
"Bronx","200","200","0","Bronx Center For Rehabilitation & Health Care","335506","name","Confirmed"
"Brooklyn","281","281","0","Brooklyn Center for Rehabilitation and Residential","335178","name","Confirmed"
"Buffalo","200","200","0","Buffalo Center For Rehabilitation And Nursing","335638","name","Confirmed"
"Bushwick","225","225","0","Bushwick Center for Rehabilitation and Health Care","335703","name","Confirmed"
"Carthage","90","90","0","CARTHAGE CENTER FOR REHABILITATION AND NURSING","335579","name","Confirmed"
"Concord","140","140","0","Concord Nursing and Rehabilitation Center","335538","name","Confirmed"
"Cooperstown","174","174","0","COOPERSTOWN CENTER FOR REHABILITATION AND NURSING","335412","name","Confirmed"
"Corning","120","120","0","Corning Center for Rehabilitation and Healthcare","335330","name","Confirmed"
"Delmar","120","120","0","DELMAR CENTER FOR REHABILITATION AND NURSING","335735","name","Confirmed"
"Deptford","240","240","0","Deptford Center for Rehabilitation and Healthcare","315174","name","Confirmed"
"Ellicott","160","160","0","ELLICOTT CENTER FOR REHABILITATION AND NURSING","335437","name","Confirmed"
"Essex","100","100","0","ESSEX CENTER FOR REHABILITATION AND HEALTHCARE","335478","name","Confirmed"
"Far Rockaway","100","100","0","Far Rockaway Center for Rehabilitation and Nursing","335044","name","Confirmed"
"Fulton","176","176","0","FULTON CENTER FOR REHABILITATION AND HEALTHCARE","335091","name","Confirmed"
"Glens Falls","117","120","3","GLENS FALLS CENTER FOR REHABILITATION AND NURSING","335306","name","Update"
"Granville Center","122","120","-2","GRANVILLE CENTER FOR REHABILITATION AND NURSING","335331","name","Update"
"Hammonton","240","240","0","Hammonton Center for Rehabilitation and Healthcare","315209","name","Confirmed"
"Holliswood","314","314","0","Holliswood Center for Rehabilitation and Healthcar","335503","name","Confirmed"
"Hope Center","66","66","0","Hope Center for HIV and Nursing Care","335725","name","Confirmed"
"Kingston","55","55","0","KINGSTON CENTER FOR REHABILITATION AND HEALTH CARE","415107","name","Confirmed"
"Martine","200","225","25","MARTINE CENTER FOR REHABILITATION AND NURSING","335424","name","Update"
"Mills Pond","250","252","2","Luxor Nursing & Rehabilitation at Mills Pond","335739","name","Update"
"N Manor","231","0",,"","","","Unmatched"
"N Metropolitan","120","0",,"","","","Unmatched"
"N Riverview","180","0",,"","","","Unmatched"
"New Paltz","77","79","2","New Paltz Center For Rehabilitation And Nursing","335188","name","Update"
"Oak Hill","129","0",,"","","","Unmatched"
"Oneida Center","120","120","0","ONEIDA CENTER FOR REHABILITATION AND NURSING","335794","name","Confirmed"
"Onondaga","80","82","2","Onondaga Center for Rehabilitation and Nursing","335548","name","Update"
"Ontario","98","98","0","Ontario Center for Rehabilitation and Healthcare","335564","name","Confirmed"
"Richmond","372","372","0","RICHMOND CTR FOR REHAB AND SPECIALTY HEALTHCARE","335772","name","Confirmed"
"Rochester","124","124","0","Rochester Center for Rehabilitation and Nursing","335556","name","Confirmed"
"Sayville","180","180","0","Sayville Nursing And Rehabilitation Center","335761","name","Confirmed"
"Schenectady","240","240","0","SCHENECTADY CENTER FOR REHABILITATION AND NURSING","335014","name","Confirmed"
"Slate Valley","88","88","0","SLATE VALLEY CENTER FOR REHABILITATION AND NURSING","335711","name","Confirmed"
"St. Patricks","264","264","0","St Patrick's Home","335011","name","Confirmed"
"Steuben County","105","105","0","Steuben Center for Rehabilitation and Healthcare","335309","name","Confirmed"
"Topeka","120","0",,"","","","Unmatched"
"Triboro","405","515","110","TRIBORO CENTER FOR REHABILITATION AND NURSING","335445","name","Update"
"Troy","78","78","0","TROY CENTER FOR REHABILITATION AND NURSING","335280","name","Confirmed"
"University","46","46","0","UNIVERSITY CENTER FOR REHABILITATION AND NURSING","335061","name","Confirmed"
"Warren","80","80","0","WARREN CENTER FOR REHABILITATION AND NURSING","335549","name","Confirmed"
"Washington","122","122","0","WASHINGTON CENTER FOR REHAB AND HEALTHCARE","335413","name","Confirmed"
"Wichita","118","0",,"","","","Unmatched"
"Williamsbridge","77","77","0","WILLIAMSBRIDGE CENTER FOR REHABILITATION AND NRSG","335048","name","Confirmed"
"Willow Point","300","300","0","WILLOW POINT REHABILITATION AND NURSING CENTER","335291","name","Confirmed"
